ID;PubmedID;Title;Abstract;Indication;ArticleType;Dataset;EvalType
133;23279307;Efficacy and safety of canagliflozin monotherapy in subjects with type 2 diabetes mellitus inadequately controlled with diet and exercise.;"Aims Canagliflozin is a sodium glucose co-transporter 2 inhibitor in development for type 2 diabetes mellitus (T2DM). The efficacy and safety of canagliflozin were evaluated in subjects with T2DM inadequately controlled with diet and exercise. Methods In this 26-week, randomized, double-blind, placebo-controlled, phase 3 trial, subjects (N = 584) received canagliflozin 100 or 300 mg or placebo once daily. Primary endpoint was the change from baseline in haemoglobin A1c (HbA1c) at week 26. Secondary endpoints included the proportion of subjects achieving HbA1c < 7.0%; change from baseline in fasting plasma glucose (FPG), 2-h postprandial glucose (PPG) and systolic blood pressure (BP); and percent change in body weight, high-density lipoprotein cholesterol (HDL-C) and triglycerides. Adverse events (AEs) were recorded throughout the study. Results At week 26, HbA1c was significantly reduced from baseline with canagliflozin 100 and 300 mg compared with placebo (-0.77, -1.03 and 0.14%, respectively; p < 0.001 for both). Both canagliflozin doses significantly decreased FPG, 2-h PPG, body weight and systolic BP (p < 0.001 for all), and increased HDL-C compared with placebo (p < 0.01 for both). Overall incidences of AEs were modestly higher with canagliflozin versus placebo; rates of serious AEs and AE-related discontinuations were low and similar across groups. Incidences of genital mycotic infections, urinary tract infections and osmotic diuresis-related AEs were higher with canagliflozin; these led to few discontinuations. The incidence of hypoglycaemia was low across groups. Conclusion Canagliflozin treatment improved glycaemic control, reduced body weight and was generally well tolerated in subjects with T2DM inadequately controlled with diet and exercise.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
134;23279373;Comparative study of sitagliptin with pioglitazone in Japanese type 2 diabetic patients: the COMPASS randomized controlled trial.;Aims To compare the efficacy and safety of these two agents and the impact on surrogate markers related to diabetic complications in Japanese type 2 diabetic patients. Methods In a multicenter, open-label trial, 130 patients whose diabetes had been inadequately controlled (HbA1c, 6.9-9.5%) with metformin and/or sulphonylurea were randomly assigned to a sitagliptin group (50 mg/day) or a pioglitazone group (15 mg/day) and were followed up for 24 weeks. At 16 weeks, if the patient's HbA1c level was ≥6.5%, the dose of sitagliptin or pioglitazone was increased up to 100 or 30 mg/day, respectively. Main outcome measure was the difference in the mean changes in the HbA1c level from baseline at 24 weeks between these two groups. Results Of the 130 patients who were enrolled, 115 subjects (sitagliptin group: 58 patients, pioglitazone group: 57 patients) completed this trial. At 0 weeks, the mean HbA1c level was 7.47 ± 0.66% in the sitagliptin group and 7.40 ± 0.61% in the pioglitazone group. At 24 weeks, the mean changes in the HbA1c level from baseline were -0.86 ± 0.63% versus -0.58 ± 0.68% (p = 0.024). Hypoglycaemia (2 patients, 3.4% vs. 2 patients, 3.5%), gastrointestinal symptoms (3 patients, 5.2% vs. 1 patient, 1.8%) and pretibial oedema (0 patients, 0% vs. 39 patients, 68.4%, p < 0.001) were observed for 24 weeks. Conclusions Sitagliptin was not only more tolerable, but also more effective than pioglitazone in Japanese type 2 diabetic patients who had been treated with metformin and/or sulphonylurea.;Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
135;23336668;Efficacy and safety of glimepiride/metformin sustained release once daily vs. glimepiride/metformin twice daily in patients with type 2 diabetes.;"Aims The study investigated the clinical equivalence in reducing haemoglobin A1c (A1C) between glimepiride/metformin sustained release (GM-SR) 2/500 mg, a fixed-dose combination, once daily and glimepiride/metformin (GM) 1/250 mg, a fixed-dose combination, twice daily in patients with type 2 diabetes (T2D). Methods A multicentre, randomised, double-blind, double-dummy study was conducted in 14 hospitals in Korea. Inclusion criteria were age 30-75 years, T2D diagnosis no longer than 10 years previously, A1C between 7% and 10%, and body mass index <40 kg/m(2) . A total of 207 subjects were randomised into the GM-SR group (n=101) or the GM group (n=106). Participants were assessed at baseline, 8 weeks and 16 weeks after treatment. Results After 16 weeks treatment, no difference in baseline-adjusted changes of A1C (primary efficacy variable) was observed between the two groups (-0.59% for GM-SR group vs. -0.61% for GM group, 95% CI: -0.17 to 0.21; p=0.84). In addition, there were no significant differences in secondary efficacy parameters between the two groups, including changes in A1C up to week 8, changes in fasting plasma glucose (FPG) and 2-h-postprandial plasma glucose up to week 8 and week 16, response rate, drug compliance and hypoglycaemic events. However, there was a difference in baseline-adjusted changes of FPG between the two groups (-1.01 mmol/l for GM-SR group vs. -1.52 mmol/l for GM group, p=0.01 in the intention to treat set). Conclusions GM-SR 2/500 mg once daily was as effective as GM 1/250 mg twice daily in lowering A1C. In addition, no difference was noted in hypoglycaemic events between the two groups.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
136;23398530;A Phase IIb, randomized, placebo-controlled study of the SGLT2 inhibitor empagliflozin in patients with type 2 diabetes.;"Aim This Phase IIb, randomized, double-blind, placebo-controlled trial evaluated the efficacy, safety, tolerability and pharmacokinetics of empagliflozin in patients with type 2 diabetes. Methods Four hundred and eight patients (treatment-naive or after a 4-week wash-out period) were randomized to receive empagliflozin 5, 10 or 25 mg once daily, placebo or open-label metformin for 12 weeks. The primary endpoint was change in haemoglobin A1c (HbA1c) after 12 weeks. Results After 12 weeks' treatment, empagliflozin showed dose-dependent reductions in HbA1c from baseline [5 mg: -0.4%, 10 mg: -0.5%, 25 mg: -0.6%; all doses p < 0.0001 vs. placebo (+0.09%)]. Fasting plasma glucose (FPG) decreased with empagliflozin [5 mg: -1.29 mmol/l, 10 mg: -1.61 mmol/l, 25 mg: -1.72 mmol/l; all doses p < 0.0001 vs. placebo (+0.04 mmol/l)]. Body weight decreased in all empagliflozin groups (all doses p < 0.001 vs. placebo). The incidence of adverse events (AEs) was similar in the placebo (32.9%) and empagliflozin (29.1%) groups. The most frequently reported AEs on empagliflozin were pollakiuria (3.3% vs. 0% for placebo), thirst (3.3% vs. 0% for placebo) and nasopharyngitis (2.0% vs. 1.2% for placebo). AEs consistent with urinary tract infections (UTIs) were reported in four (1.6%) patients on empagliflozin vs. one (1.2%) on placebo. Genital infections were reported in five (2%) patients on empagliflozin vs. 0% on placebo. No UTIs or genital infections led to premature discontinuation. Conclusions In patients with type 2 diabetes, empagliflozin resulted in dose-dependent, clinically meaningful reductions in HbA1c and FPG, and reductions in body weight compared with placebo. Empagliflozin was well-tolerated with a favourable safety profile.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
137;23412078;Canagliflozin lowers postprandial glucose and insulin by delaying intestinal glucose absorption in addition to increasing urinary glucose excretion: results of a randomized, placebo-controlled study.;"Objective Canagliflozin, a sodium glucose cotransporter (SGLT) 2 inhibitor, is also a low-potency SGLT1 inhibitor. This study tested the hypothesis that intestinal canagliflozin levels postdose are sufficiently high to transiently inhibit intestinal SGLT1, thereby delaying intestinal glucose absorption. Research design and methods This two-period, crossover study evaluated effects of canagliflozin on intestinal glucose absorption in 20 healthy subjects using a dual-tracer method. Placebo or canagliflozin 300 mg was given 20 min before a 600-kcal mixed-meal tolerance test. Plasma glucose, (3)H-glucose, (14)C-glucose, and insulin were measured frequently for 6 h to calculate rates of appearance of oral glucose (RaO) in plasma, endogenous glucose production, and glucose disposal. Results Compared with placebo, canagliflozin treatment reduced postprandial plasma glucose and insulin excursions (incremental 0- to 2-h area under the curve [AUC0-2h] reductions of 35% and 43%, respectively; P < 0.001 for both), increased 0- to 6-h urinary glucose excretion (UGE0-6h, 18.2 ± 5.6 vs. <0.2 g; P < 0.001), and delayed RaO. Canagliflozin reduced AUC RaO by 31% over 0 to 1 h (geometric means, 264 vs. 381 mg/kg; P < 0.001) and by 20% over 0 to 2 h (576 vs. 723 mg/kg; P = 0.002). Over 2 to 6 h, canagliflozin increased RaO such that total AUC RaO over 0 to 6 h was <6% lower versus placebo (960 vs. 1,018 mg/kg; P = 0.003). A modest (∼10%) reduction in acetaminophen absorption was observed over the first 2 h, but this difference was not sufficient to explain the reduction in RaO. Total glucose disposal over 0 to 6 h was similar across groups. Conclusions Canagliflozin reduces postprandial plasma glucose and insulin by increasing UGE (via renal SGLT2 inhibition) and delaying RaO, likely due to intestinal SGLT1 inhibition.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
138;23564919;Canagliflozin compared with sitagliptin for patients with type 2 diabetes who do not have adequate glycemic control with metformin plus sulfonylurea: a 52-week randomized trial.;"Objective To evaluate the efficacy and safety of canagliflozin, a sodium glucose cotransporter 2 inhibitor, compared with sitagliptin in subjects with type 2 diabetes inadequately controlled with metformin plus sulfonylurea. Research design and methods In this 52-week, randomized, double-blind, active-controlled, phase 3 study, subjects using stable metformin plus sulfonylurea (N = 755) received canagliflozin 300 mg or sitagliptin 100 mg daily. Primary end point was change from baseline in A1C at 52 weeks. Secondary end points included change in fasting plasma glucose (FPG) and systolic blood pressure (BP), and percent change in body weight, triglycerides, and HDL cholesterol. Safety was assessed based on adverse event (AE) reports. Results At 52 weeks, canagliflozin 300 mg demonstrated noninferiority and, in a subsequent assessment, showed superiority to sitagliptin 100 mg in reducing A1C (-1.03% [-11.3 mmol/mol] and -0.66% [-7.2 mmol/mol], respectively; least squares mean difference between groups, -0.37% [95% CI, -0.50 to -0.25] or -4.0 mmol/mol [-5.5 to -2.7]). Greater reductions in FPG, body weight, and systolic BP were observed with canagliflozin versus sitagliptin (P < 0.001). Overall AE rates were similar with canagliflozin (76.7%) and sitagliptin (77.5%); incidence of serious AEs and AE-related discontinuations was low for both groups. Higher incidences of genital mycotic infections and osmotic diuresis-related AEs were observed with canagliflozin, which led to one discontinuation. Hypoglycemia rates were similar in both groups. Conclusions Findings suggest that canagliflozin may be a new therapeutic tool providing better improvement in glycemic control and body weight reduction than sitagliptin, but with increased genital infections in subjects with type 2 diabetes using metformin plus sulfonylurea.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
139;23577643;Effect of insulin degludec versus sitagliptin in patients with type 2 diabetes uncontrolled on oral antidiabetic agents.;"Aim The efficacy and safety of insulin degludec (IDeg), a new basal insulin with an ultra-long duration of action, was compared to sitagliptin (Sita) in a 26-week, open-label trial. Methods Insulin-naive subjects with type 2 diabetes [n = 458, age: 56 years, diabetes duration: 7.7 years, glycosylated haemoglobin (HbA1c): 8.9% (74 mmol/mol)] were randomized (1 : 1) to once-daily IDeg or Sita (100 mg orally) as add-on to stable treatment with 1 or 2 oral antidiabetic drugs (OADs). Results Superiority of IDeg to Sita in improving HbA1c and fasting plasma glucose (FPG) was confirmed [estimated treatment difference (ETD) IDeg-Sita for HbA1c: -0.43%-points [95% confidence interval (CI): -0.61; -0.24, p < 0.0001] and for FPG: -2.17 mmol/l (95% CI: -2.59; -1.74, p < 0.0001)]. HbA1c < 7% (<53 mmol/mol) was achieved by 41% (IDeg) versus 28% (Sita) of patients, estimated odds ratio IDeg/Sita: 1.60 (95% CI: 1.04; 2.47, p = 0.034). There was no statistically significant difference in the rate of nocturnal confirmed hypoglycaemia between IDeg and Sita [0.52 vs. 0.30 episodes/patient-year, estimated rate ratio (ERR): IDeg/Sita: 1.93 (95% CI: 0.90; 4.10, p = 0.09)]. Rates of overall confirmed hypoglycaemia were higher with IDeg than with Sita [3.1 vs. 1.3 episodes/patient-year, ERR IDeg/Sita: 3.81 (95% CI: 2.40; 6.05, p < 0.0001)]. IDeg was associated with a greater change in body weight than Sita [ETD IDeg-Sita: 2.75 kg (95% CI: 1.97; 3.54, p < 0.0001)]. The overall rates of adverse events were low and similar for both groups. Conclusions In patients unable to achieve good glycaemic control on OAD(s), treatment intensification with IDeg offers an effective, well-tolerated alternative to the addition of a second or third OAD.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
140;23782594;Efficacy and safety of canagliflozin in Japanese patients with type 2 diabetes: a randomized, double-blind, placebo-controlled, 12-week study.;"Aims We examined the efficacy, safety and tolerability of canagliflozin, a sodium glucose co-transporter 2 inhibitor, in Japanese patients with type 2 diabetes (T2DM) undergoing diet and exercise therapy. Methods Patients aged 20-80 years with T2DM diagnosed ≥3 months previously, and HbA1c of 6.9-9.9% were randomized to 50, 100, 200 or 300 mg canagliflozin or placebo once daily for 12 weeks. The primary and secondary endpoints were changes in HbA1c, fasting plasma glucose (FPG), urinary glucose/creatinine and postprandial glycaemic parameters following a meal test. The safety assessments included adverse events (AEs) and clinical laboratory tests. Results Overall, 383 patients were randomized to receive either placebo (n = 75), or 50 mg (n = 82), 100 mg (n = 74), 200 mg (n = 77) or 300 mg canagliflozin (n = 75). At week 12, significant reductions in HbA1c were observed in all canagliflozin groups relative to placebo (-0.61, -0.80, -0.79 and -0.88% for 50, 100, 200 and 300 mg, respectively, versus +0.11% for placebo; all, p < 0.01). FPG and postprandial glycaemic parameters improved significantly in the canagliflozin groups. Body weight was significantly decreased by canagliflozin. No deaths or drug-related serious AEs were reported. There was no dose-dependent increase in the incidence of AEs in the canagliflozin groups. The incidence of hypoglycaemia was low; episodes were not severe or dose dependent. Canagliflozin did not affect serum creatinine levels or the urinary albumin/creatinine ratio. Conclusions Treatment with canagliflozin for 12 weeks significantly improved glycaemic control and reduced body weight in Japanese patients with T2DM. Canagliflozin was well tolerated.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
141;23981104;Long-term effects of metformin on endothelial function in type 2 diabetes: a randomized controlled trial.;Objectives We investigated whether metformin can improve endothelial function and decrease inflammatory activity, and thereby decrease the risk of atherothrombotic disease. Subjects and design A randomized, placebo-controlled trial with a follow-up period of 4.3 years set in the outpatient clinics of three nonacademic hospitals (Hoogeveen, Meppel and Coevorden Hospitals, the Netherlands). A total of 390 patients with type 2 diabetes treated with insulin were included. Either metformin 850 mg or placebo (one to three times daily) was added to insulin therapy. Urinary albumin excretion and plasma levels of von Willebrand factor (vWf), soluble vascular adhesion molecule-1 (sVCAM-1), soluble E-selectin (sE-selectin), tissue-type plasminogen activator (t-PA), plasminogen activator inhibitor-1 (PAI-1), C-reactive protein (CRP) and soluble intercellular adhesion molecule-1 (sICAM-1) were measured at baseline and after 4, 17, 30, 43 and 52 months. Results Metformin significantly reduced levels of vWF, sVCAM-1, t-PA, PAI-1, CRP and sICAM-1, which, except for CRP, remained significant after adjustment for baseline differences in age, sex, smoking and severity of previous cardiovascular (CV) disease. No effects on urinary albumin excretion or sE-selectin were observed. The improvements in vWf and sVCAM-1 statistically explained about 34% of the reduction in the risk of CV morbidity and mortality associated with metformin treatment in this study. Conclusions Metformin is associated with improvement in some (vWF and sVCAM-1) but not all markers of endothelial function, which may explain why it is associated with a decreased risk of CV disease in type 2 diabetes.;Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
142;23992601;Saxagliptin and cardiovascular outcomes in patients with type 2 diabetes mellitus.;"Background The cardiovascular safety and efficacy of many current antihyperglycemic agents, including saxagliptin, a dipeptidyl peptidase 4 (DPP-4) inhibitor, are unclear. Methods We randomly assigned 16,492 patients with type 2 diabetes who had a history of, or were at risk for, cardiovascular events to receive saxagliptin or placebo and followed them for a median of 2.1 years. Physicians were permitted to adjust other medications, including antihyperglycemic agents. The primary end point was a composite of cardiovascular death, myocardial infarction, or ischemic stroke. Results A primary end-point event occurred in 613 patients in the saxagliptin group and in 609 patients in the placebo group (7.3% and 7.2%, respectively, according to 2-year Kaplan-Meier estimates; hazard ratio with saxagliptin, 1.00; 95% confidence interval [CI], 0.89 to 1.12; P=0.99 for superiority; P<0.001 for noninferiority); the results were similar in the ""on-treatment"" analysis (hazard ratio, 1.03; 95% CI, 0.91 to 1.17). The major secondary end point of a composite of cardiovascular death, myocardial infarction, stroke, hospitalization for unstable angina, coronary revascularization, or heart failure occurred in 1059 patients in the saxagliptin group and in 1034 patients in the placebo group (12.8% and 12.4%, respectively, according to 2-year Kaplan-Meier estimates; hazard ratio, 1.02; 95% CI, 0.94 to 1.11; P=0.66). More patients in the saxagliptin group than in the placebo group were hospitalized for heart failure (3.5% vs. 2.8%; hazard ratio, 1.27; 95% CI, 1.07 to 1.51; P=0.007). Rates of adjudicated cases of acute and chronic pancreatitis were similar in the two groups (acute pancreatitis, 0.3% in the saxagliptin group and 0.2% in the placebo group; chronic pancreatitis, <0.1% and 0.1% in the two groups, respectively). Conclusions DPP-4 inhibition with saxagliptin did not increase or decrease the rate of ischemic events, though the rate of hospitalization for heart failure was increased. Although saxagliptin improves glycemic control, other approaches are necessary to reduce cardiovascular risk in patients with diabetes. (Funded by AstraZeneca and Bristol-Myers Squibb; SAVOR-TIMI 53 ClinicalTrials.gov number, NCT01107886.).";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
143;24026211;Efficacy and safety of canagliflozin compared with placebo and sitagliptin in patients with type 2 diabetes on background metformin monotherapy: a randomised trial.;"Aims/hypothesis The aim of this work was to evaluate the efficacy and safety of canagliflozin vs placebo and sitagliptin in patients with type 2 diabetes who were being treated with background metformin. Methods This randomised, double-blind, four-arm, parallel-group, Phase 3 study was conducted at 169 centres in 22 countries between April 2010 and August 2012. Participants (N = 1,284) with type 2 diabetes aged ≥ 18 and ≤ 80 years who had inadequate glycaemic control (HbA1c ≥ 7.0% [53 mmol/mol] and ≤10.5% [91 mmol/mol]) on metformin therapy received canagliflozin 100 mg or 300 mg, sitagliptin 100 mg, or placebo (n = 368, 367, 366, 183, respectively) for a 26 week, placebo- and active-controlled period followed by a 26 week, active-controlled period (placebo group switched to sitagliptin [placebo/sitagliptin]) and were included in the modified intent-to-treat analysis set. Randomisation was performed using a computer-generated schedule; participants, study centres and the sponsor were blinded to group assignment. The primary endpoint was change from baseline in HbA1c at week 26; secondary endpoints included changes in HbA1c (week 52) and fasting plasma glucose (FPG), body weight, and systolic blood pressure (BP; weeks 26 and 52). Adverse events (AEs) were recorded throughout the study. Results At week 26, canagliflozin 100 mg and 300 mg reduced HbA1c vs placebo (-0.79%, -0.94%, -0.17%, respectively; p < 0.001). At week 52, canagliflozin 100 mg and 300 mg demonstrated non-inferiority, and canagliflozin 300 mg demonstrated statistical superiority, to sitagliptin in lowering HbA1c (-0.73%, -0.88%,-0.73%, respectively); differences (95% CI) vs sitagliptin were 0% (-0.12, 0.12) and -0.15% (-0.27, -0.03), respectively. Canagliflozin 100 mg and 300 mg reduced body weight vs placebo (week 26: -3.7%, -4.2%, -1.2%, respectively; p < 0.001) and sitagliptin (week 52: -3.8%, -4.2%, -1.3%, respectively; p < 0.001). Both canagliflozin doses reduced FPG and systolic BP vs placebo (week 26) and sitagliptin (week 52) (p < 0.001). Overall AE and AE-related discontinuation rates were generally similar across groups, but higher with canagliflozin 100 mg. Genital mycotic infection and osmotic diuresis-related AE rates were higher with canagliflozin; few led to discontinuations. Hypoglycaemia incidence was higher with canagliflozin. Conclusions/interpretation Canagliflozin improved glycaemia and reduced body weight vs placebo (week 26) and sitagliptin (week 52) and was generally well tolerated in patients with type 2 diabetes on metformin. Clinical trial registry ClinicalTrials.gov NCT01106677 FUNDING: This study was supported by Janssen Research & Development, LLC.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
144;24062327;Effects of adding linagliptin to basal insulin regimen for inadequately controlled type 2 diabetes: a ≥52-week randomized, double-blind study.;"Objective To evaluate the efficacy and long-term safety of linagliptin added to basal insulins in type 2 diabetes inadequately controlled on basal insulin with or without oral agents. Research design and methods A total of 1,261 patients (HbA1c ≥7.0% [53 mmol/mol] to ≤10.0% [86 mmol/mol]) on basal insulin alone or combined with metformin and/or pioglitazone were randomized (1:1) to double-blind treatment with linagliptin 5 mg once daily or placebo for ≥52 weeks. The basal insulin dose was kept unchanged for 24 weeks but could thereafter be titrated according to fasting plasma glucose levels at the investigators' discretion. The primary end point was the mean change in HbA1c from baseline to week 24. The safety analysis incorporated data up to a maximum of 110 weeks. Results At week 24, HbA1c changed from a baseline of 8.3% (67 mmol/mol) by -0.6% (-6.6 mmol/mol) and by 0.1% (1.1 mmol/mol) with linagliptin and placebo, respectively (treatment difference -0.65% [95% CI -0.74 to -0.55] [-7.1 mmol/mol]; P < 0.0001). Despite the option to uptitrate basal insulin, it was adjusted only slightly upward (week 52, linagliptin 2.6 IU/day, placebo 4.2 IU/day; P < 0.003), resulting in no further HbA1c improvements. Frequencies of hypoglycemia (week 24, linagliptin 22.0%, placebo 23.2%; treatment end, linagliptin 31.4%, placebo 32.9%) and adverse events (linagliptin 78.4%, placebo 81.4%) were similar between groups. Mean body weight remained unchanged (week 52, linagliptin -0.30 kg, placebo -0.04 kg). Conclusions Linagliptin added to basal insulin therapy significantly improved glycemic control relative to placebo without increasing hypoglycemia or body weight.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
145;24118688;Efficacy and safety of canagliflozin in patients with type 2 diabetes mellitus inadequately controlled with metformin and sulphonylurea: a randomised trial.;"Aims Canagliflozin is a sodium glucose co-transporter 2 inhibitor developed for the treatment of type 2 diabetes mellitus (T2DM). This randomised, double-blind, placebo-controlled, Phase 3 study evaluated the efficacy and safety of canagliflozin as an add-on to metformin plus sulphonylurea in patients with T2DM. Methods Patients (N = 469) received canagliflozin 100 or 300 mg or placebo once daily during a 26-week core period and a 26-week extension. Prespecified primary end-point was change in HbA1c at 26 weeks. Secondary end-points included change in HbA1c at week 52 as well as proportion of patients achieving HbA1c < 7.0%, change in fasting plasma glucose (FPG) and systolic blood pressure, and per cent change in body weight, high-density lipoprotein cholesterol, and triglycerides (weeks 26 and 52). Results HbA1c was significantly reduced with canagliflozin 100 and 300 mg vs. placebo at week 26 (-0.85%, -1.06%, and -0.13%; p < 0.001); these reductions were maintained at week 52 (-0.74%, -0.96%, and 0.01%). Both canagliflozin doses reduced FPG and body weight vs. placebo at week 26 (p < 0.001) and week 52. Overall adverse event (AE) rates were similar across groups over 52 weeks, with higher rates of genital mycotic infections and osmotic diuresis-related AEs seen with canagliflozin vs. placebo; these led to few discontinuations. Increased incidence of documented, but not severe, hypoglycaemia episodes was seen with canagliflozin vs. placebo. Conclusions Canagliflozin improved glycaemic control, reduced body weight, and was generally well tolerated in T2DM patients on metformin plus sulphonylurea over 52 weeks.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
146;24144654;Dapagliflozin is effective as add-on therapy to sitagliptin with or without metformin: a 24-week, multicenter, randomized, double-blind, placebo-controlled study.;Objective To assess the efficacy and safety of dapagliflozin as add-on therapy in patients with type 2 diabetes who were inadequately controlled with a dipeptidyl peptidase-4 inhibitor with or without metformin. Research design and methods In this 24-week, multicenter, randomized, double-blind, placebo-controlled, parallel-group, phase 3 study with a 24-week blinded extension period, 432 patients were randomized to receive dapagliflozin 10 mg/day or placebo added to sitagliptin (100 mg/day) ± metformin (≥1,500 mg/day). Results Baseline HbA1c and FPG levels were 7.9% (63.0 mmol/mol) and 162.2 mg/dL (9.0 mmol/L) for the dapagliflozin group and 8.0% (64.0 mmol/mol) and 163 mg/dL (9.0 mmol/L) for placebo. At week 24, dapagliflozin significantly reduced mean HbA1c levels (-0.5% [-4.9 mmol/mol]) versus placebo (0.0% [+0.4 mmol/mol]). Dapagliflozin reduced body weight versus placebo (-2.1 and -0.3 kg) and reduced HbA1c levels in patients with baseline values ≥8.0% (-0.8% [8.7 mmol/mol] and 0.0% [0.3 mmol/mol]) and fasting plasma glucose levels (-24.1 mg/dL [-1.3 mmol/L] and 3.8 mg/dL [0.2 mmol/L]). Similar results were observed when data were stratified by background therapy. Glycemic and weight benefits observed at week 24 were maintained through week 48. Changes from baseline in systolic blood pressure at week 8 were not significantly different between treatment groups. Over 48 weeks, fewer patients receiving dapagliflozin were discontinued or rescued for failing to achieve glycemic targets compared with placebo. Adverse events were balanced between groups, and discontinuation rates were low. At week 48, signs and symptoms suggestive of genital infection were more frequent with dapagliflozin (9.8%) than with placebo (0.4%). Signs and symptoms suggestive of urinary tract infection were balanced between dapagliflozin (6.7%) and placebo (6.2%). Conclusions These results suggest that in patients with type 2 diabetes, inadequately controlled on sitagliptin with or without metformin, add-on treatment with dapagliflozin provides additional clinical benefit and is well tolerated.;Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Test
147;24823599;Vildagliptin added to sulfonylurea improves glycemic control without hypoglycemia and weight gain in Chinese patients with type 2 diabetes mellitus.;"Objective The aim of the present study was to assess the efficacy and safety of vildagliptin as add-on to sulfonylurea therapy in Chinese patients with type 2 diabetes mellitus (T2DM) inadequately controlled on sulfonylurea monotherapy. Methods The 24-week randomized double-blind placebo-controlled study compared vildagliptin 50 mg, q.d., with placebo as add-on to glimepiride in T2DM patients who were inadequately controlled (HbA1c 7.5%-11.0% [58-97 mmol/mol]) on a stable dose of sulfonylurea for ≥12 weeks before study entry. Results In all, 279 patients were randomized to receive either vildagliptin (n = 143) or placebo (n = 136). At baseline, overall mean age was 58.5 years, body weight 68.1 kg, duration of diabetes 6.9 years and daily glimepiride dose 3.3 mg. After 24 weeks, the adjusted mean change (AMΔ) in HbA1c was -0.7% (-8 mmol/mol; baseline 8.6%, 70 mmol/mol) in the vildagliptin group and -0.2% (-2 mmol/mol; baseline 8.7%, 72 mmol/mol) in the placebo group, with a treatment difference of -0.5% (-5 mmol/mol; P < 0.001). The between-group difference in AMΔ in fasting plasma glucose was -0.4 mmol/L (P = 0.160). There was a slight, but not significant, decrease in body weight in both groups. No hypoglycemic events were reported in either group, including those patients reaching HbA1c <7.0%. Patients in the vildagliptin and placebo groups reported low and comparable incidences of adverse events (14.0% vs. 17.8%) and serious adverse events (0.7% in each group). Conclusion Vildagliptin 50 mg, q.d., added to sulfonylurea monotherapy is effective in Chinese patients with T2DM, without increasing the risk of hypoglycemia and weight gain.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
148;24920915;A double-blind, randomized trial, including frequent patient-physician contacts and Ramadan-focused advice, assessing vildagliptin and gliclazide in patients with type 2 diabetes fasting during Ramadan: the STEADFAST study.;"Background Several observational studies were conducted with vildagliptin in patients with type 2 diabetes mellitus (T2DM) fasting during Ramadan, showing significantly lower incidences of hypoglycemia with vildagliptin versus sulfonylureas, including gliclazide. It was of interest to complement the existing real-life evidence with data from a randomized, double-blind, clinical trial. Clinical trials identifier NCT01758380. Methods This multiregional, double-blind study randomized 557 patients with T2DM (mean glycated hemoglobin [HbA1c], 6.9%), previously treated with metformin and any sulfonylurea to receive either vildagliptin (50 mg twice daily) or gliclazide plus metformin. The study included four office visits (three pre-Ramadan) and multiple telephone contacts, as well as Ramadan-focused advice. Hypoglycemic events were assessed during Ramadan; HbA(1c) and weight were analyzed before and after Ramadan. Results The proportion of patients reporting confirmed (<3.9 mmol/L and/or severe) hypoglycemic events during Ramadan was 3.0% with vildagliptin and 7.0% with gliclazide (P=0.039; one-sided test), and this was 6.0% and 8.7%, respectively, for any hypoglycemic events (P=0.173). The adjusted mean change pre- to post-Ramadan in HbA(1c) was 0.05%±0.04% with vildagliptin and -0.03%±0.04% with gliclazide, from baselines of 6.84% and 6.79%, respectively (P=0.165). In both groups, the adjusted mean decrease in weight was -1.1±0.2 kg (P=0.987). Overall safety was similar between the treatments. Conclusion In line with the results from previous observational studies, vildagliptin was shown in this interventional study to be an effective, safe, and well-tolerated treatment in patients with T2DM fasting during Ramadan, with a consistently low incidence of hypoglycemia across studies, accompanied by good glycemic and weight control. In contrast, gliclazide showed a lower incidence of hypoglycemia in the present interventional than the previous observational studies. This is suggested to be linked to the specific circumstances of this study, including frequent patient-physician contacts, Ramadan-focused advice, a recent switch in treatment, and very well-controlled patients, which is different from what is often seen in real life.";Endocrine, nutritional or metabolic diseases;Interventional;Indomain;Train
